Hisse,Son Fiyat,Son Hacim,Hacim Çarpanı,Hacim Onayı,RSI,RSI Aralık,RSI OK,OBV,OBV Doruğunda,Durum,Grafik
METUR,₺63.85,"788,080",2.96x,✅,61.6,60-70,✅,"946,645",✅,✅ Üçlü Onay,https://www.tradingview.com/chart/?symbol=BIST:METUR
AYGAZ,₺161.60,"199,743",2.59x,✅,64.8,60-70,✅,"1,167,708",✅,✅ Üçlü Onay,https://www.tradingview.com/chart/?symbol=BIST:AYGAZ
PEKGY,₺8.25,"39,575,548",2.49x,✅,62.7,60-70,✅,"453,766,626",✅,✅ Üçlü Onay,https://www.tradingview.com/chart/?symbol=BIST:PEKGY
ARZUM,₺5.35,"2,082,120",1.28x,✅,61.5,60-70,✅,"36,690,784",✅,✅ Üçlü Onay,https://www.tradingview.com/chart/?symbol=BIST:ARZUM
