Hisse,Son Hacim,Hacim SMA,Hacim Oranı,Son Fiyat,Hacim Trendi,3 Periyot Artış,Durum,Grafik
JANTS,"90,545,665","32,479,736",2.79x,₺26.00,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:JANTS
ESEN,"106,796,952","42,265,777",2.53x,₺16.45,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ESEN
ATATP,"8,338,276","3,660,231",2.28x,₺115.30,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ATATP
