Hisse,Son Hacim,Hacim SMA,Hacim Oranı,Son Fiyat,Hacim Trendi,3 Periyot Artış,Durum,Grafik
SASA,"1,992,148,265","587,067,249",3.39x,₺3.96,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:SASA
BURVA,"411,615","126,526",3.25x,₺120.30,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BURVA
BLCYT,"4,509,162","1,536,522",2.93x,₺20.88,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BLCYT
BURCE,"14,457,320","5,097,867",2.84x,₺17.92,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BURCE
ULUSE,"228,654","84,549",2.70x,₺198.20,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ULUSE
LIDER,"804,151","306,520",2.62x,₺281.25,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:LIDER
ALKIM,"8,692,888","3,368,868",2.58x,₺18.60,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ALKIM
BORSK,"9,921,603","3,850,248",2.58x,₺25.56,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BORSK
SANEL,"428,081","174,380",2.45x,₺29.86,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:SANEL
IDGYO,"5,817,948","2,373,960",2.45x,₺4.59,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:IDGYO
ANSGR,"13,008,794","5,496,598",2.37x,₺22.14,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ANSGR
KUTPO,"1,218,280","569,863",2.14x,₺95.50,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KUTPO
ALGYO,"4,674,542","2,410,291",1.94x,₺21.68,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ALGYO
NTHOL,"2,331,441","1,226,239",1.90x,₺49.24,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:NTHOL
TAVHL,"4,859,960","2,587,351",1.88x,₺263.50,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:TAVHL
AYEN,"1,323,856","715,946",1.85x,₺28.18,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:AYEN
FENER,"63,135,621","34,308,050",1.84x,₺12.91,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:FENER
AKSA,"32,666,837","17,726,237",1.84x,₺10.31,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:AKSA
ALARK,"7,351,068","4,023,725",1.83x,₺90.30,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ALARK
AYES,"246,023","134,672",1.83x,₺17.10,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:AYES
BUCIM,"12,058,461","6,888,660",1.75x,₺7.43,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BUCIM
DOAS,"3,984,709","2,448,357",1.63x,₺196.10,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:DOAS
KOCMT,"5,936,343","3,655,581",1.62x,₺14.46,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KOCMT
POLTK,"10,344","6,495",1.59x,₺7660.00,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:POLTK
HUNER,"58,092,663","36,829,959",1.58x,₺4.16,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:HUNER
TOASO,"6,785,955","4,384,680",1.55x,₺242.00,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:TOASO
FROTO,"18,224,673","11,828,723",1.54x,₺114.00,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:FROTO
