Hisse,Son Hacim,Hacim SMA,Hacim Oranı,Son Fiyat,Hacim Trendi,3 Periyot Artış,Durum,Grafik
GUBRF,"1,082,172","328,434",3.29x,₺275.50,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:GUBRF
DMRGD,"1,175,002","448,608",2.62x,₺36.12,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:DMRGD
HATEK,"569,529","228,304",2.49x,₺17.78,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:HATEK
ENKAI,"3,025,150","1,439,333",2.10x,₺73.55,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ENKAI
TEZOL,"1,840,543","945,173",1.95x,₺15.92,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:TEZOL
RNPOL,"51,254","27,426",1.87x,₺36.80,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:RNPOL
PNSUT,"264,109","160,974",1.64x,₺12.09,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:PNSUT
KCAER,"1,781,629","1,143,326",1.56x,₺14.62,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KCAER
TURGG,"13,699","8,935",1.53x,₺672.50,3 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:TURGG
