Hisse,Toplam,Temel,Teknik,Öneri,Fiyat (₺),P/E,P/B
YYAPI,24,18,6,Güçlü Al,2.77,3.0,0.6
SKBNK,24,16,8,Güçlü Al,7.49,5.2,0.9
ARSAN,22,16,6,Güçlü Al,23.58,6.2,0.6
PAGYO,22,14,8,Güçlü Al,78.15,9.3,0.6
TBORG,22,14,8,Güçlü Al,181.00,12.9,3.1
VKGYO,21,16,5,Güçlü Al,2.73,1.2,0.5
ATATP,21,13,8,Güçlü Al,126.80,32.3,3.7
ECILC,21,13,8,Güçlü Al,65.25,16.2,0.9
KUTPO,21,13,8,Güçlü Al,95.50,23.5,1.0
AKFIS,20,14,6,Güçlü Al,24.32,8.9,0.6
LOGO,20,14,6,Güçlü Al,173.70,14.7,5.1
MACKO,20,14,6,Güçlü Al,39.98,6.6,6.6
PLTUR,20,14,6,Güçlü Al,29.00,9.2,1.0
SNGYO,20,14,6,Güçlü Al,4.60,3.5,0.4
DOAS,20,12,8,Güçlü Al,196.10,2.4,0.8
GSDHO,20,12,8,Güçlü Al,5.16,7.6,0.5
HATSN,20,12,8,Güçlü Al,51.10,12.0,2.2
MERIT,20,12,8,Güçlü Al,21.58,1.7,0.7
MSGYO,20,12,8,Güçlü Al,6.05,28.8,0.7
QNBTR,20,12,8,Güçlü Al,714.50,58.8,17.2
BEGYO,19,14,5,Al,12.30,10.0,2.1
GOKNR,19,14,5,Al,25.28,8.1,1.1
HALKB,19,14,5,Al,27.36,8.5,1.0
SANKO,19,13,6,Al,24.08,8.5,1.9
TCELL,19,13,6,Al,97.65,17.1,1.0
AKSGY,19,11,8,Al,7.58,5.3,0.5
ASTOR,19,11,8,Al,116.10,22.5,4.9
AVHOL,19,11,8,Al,54.40,2.8,1.5
BVSAN,19,11,8,Al,107.00,0.0,2.0
HLGYO,19,11,8,Al,4.46,4.4,0.4
OYAKC,19,11,8,Al,25.58,15.2,2.4
PETKM,19,11,8,Al,19.72,4.7,0.8
SASA,19,11,8,Al,3.96,6.0,1.3
YYLGD,19,11,8,Al,11.50,8.3,1.1
LMKDC,18,16,2,Al,29.42,10.7,2.6
AKBNK,18,15,3,Al,67.20,8.1,1.3
NTGAZ,18,15,3,Al,10.37,10.4,1.7
VAKBN,18,15,3,Al,28.24,4.5,1.1
YKBNK,18,15,3,Al,33.08,8.1,1.3
ALBRK,18,14,4,Al,8.52,1.7,1.0
AVPGY,18,14,4,Al,64.10,6.0,0.7
MHRGY,18,14,4,Al,6.09,3.8,0.8
NTHOL,18,14,4,Al,49.24,10.7,0.4
ULKER,18,14,4,Al,115.20,6.2,1.2
BLCYT,18,13,5,Al,20.88,15.6,0.6
KLGYO,18,13,5,Al,6.25,10.2,0.4
KTSKR,18,13,5,Al,68.70,11.8,0.6
MAVI,18,13,5,Al,41.94,14.9,2.8
OZKGY,18,13,5,Al,13.62,1.4,0.4
AKMGY,18,12,6,Al,228.00,19.0,1.1
ARTMS,18,12,6,Al,36.26,7.8,1.6
CRDFA,18,12,6,Al,20.34,12.6,3.4
EDIP,18,12,6,Al,38.82,2.9,0.5
KBORU,18,12,6,Al,14.13,11.2,2.4
MEGAP,18,12,6,Al,5.22,5.3,0.5
PCILT,18,12,6,Al,21.24,10.0,1.8
PRKME,18,12,6,Al,20.88,42.6,0.7
SELGD,18,12,6,Al,87.30,121.2,6.1
THYAO,18,12,6,Al,338.75,3.9,24.6
AYEN,18,10,8,Al,28.18,27.6,0.6
BRYAT,18,10,8,Al,2323.00,32.1,2.4
ECZYT,18,10,8,Al,245.00,24.3,1.1
EGPRO,18,10,8,Al,24.00,19.8,1.9
ENTRA,18,10,8,Al,13.00,81.2,0.9
FROTO,18,10,8,Al,114.00,13.0,2.8
GRTHO,18,10,8,Al,506.50,70.3,11.0
INDES,18,10,8,Al,8.20,22.8,1.2
LIDER,18,10,8,Al,281.25,56.9,7.8
LINK,18,10,8,Al,709.00,316.5,13.6
TEHOL,18,10,8,Al,26.40,52.8,9.3
YATAS,18,10,8,Al,32.60,116.4,0.5
ANSGR,17,15,2,Al,22.14,4.0,1.7
KFEIN,17,14,3,Al,10.45,13.9,1.9
KRGYO,17,14,3,Al,3.53,6.3,0.9
TRGYO,17,14,3,Al,71.25,9.0,0.6
TSKB,17,14,3,Al,14.05,3.2,1.0
EUREN,17,13,4,Al,7.38,14.5,1.8
DZGYO,17,12,5,Al,7.49,7.6,0.6
ELITE,17,12,5,Al,36.24,12.2,2.8
RYGYO,17,12,5,Al,23.68,2.8,0.8
ADGYO,17,11,6,Al,46.44,16.6,2.2
ENKAI,17,11,6,Al,73.15,13.9,51.9
KRSTL,17,11,6,Al,10.56,12.1,1.5
LILAK,17,11,6,Al,28.60,16.7,1.4
SRVGY,17,11,6,Al,3.83,6.3,0.6
AEFES,17,9,8,Al,17.83,11.7,1.1
DESA,17,9,8,Al,14.17,16.3,2.3
KERVN,17,9,8,Al,3.92,3.6,1.3
RNPOL,17,9,8,Al,39.96,26.6,1.3
RUZYE,17,9,8,Al,9.70,323.3,2.2
TCKRC,17,9,8,Al,60.70,22.7,2.9
ZEDUR,17,9,8,Al,10.15,23.1,0.9
AGESA,16,14,2,Al,166.80,7.1,4.3
ARDYZ,16,14,2,Al,28.78,9.4,1.5
RAYSG,16,14,2,Al,267.75,13.4,6.7
BESLR,16,13,3,Al,15.22,9.1,0.8
GARAN,16,13,3,Al,145.90,6.1,1.6
GLYHO,16,13,3,Al,9.19,5.2,1.9
KLNMA,16,13,3,Al,12.51,15.3,4.4
KLSYN,16,13,3,Al,6.49,8.2,1.0
SEKFK,16,13,3,Al,9.25,6.2,1.2
ANHYT,16,12,4,Al,84.20,7.9,3.6
