Hisse,Toplam,Temel,Teknik,Öneri,Fiyat (₺),P/E,P/B
MIATK,16,12,4,Al,38.62,13.7,3.6
TMSN,16,12,4,Al,127.70,2.6,1.0
TTKOM,16,12,4,Al,56.70,14.3,1.1
VAKKO,16,12,4,Al,60.25,10.9,1.1
CCOLA,16,11,5,Al,50.00,11.3,2.2
GLRYH,16,11,5,Al,4.75,20.7,0.8
KTLEV,16,11,5,Al,9.70,20.2,5.0
LIDFA,16,11,5,Al,4.26,3.4,1.0
BORSK,16,10,6,Al,25.56,15.0,1.0
ENJSA,16,10,6,Al,71.00,11.3,1.0
ENSRI,16,10,6,Al,79.05,44.2,7.6
HTTBT,16,10,6,Al,48.32,48.8,5.7
ODINE,16,10,6,Al,140.50,27.8,7.8
PSDTC,16,10,6,Al,178.00,36.6,8.2
CANTE,16,9,7,Al,2.32,5.8,0.6
EREGL,16,8,8,Al,29.30,38.1,0.8
IZENR,16,8,8,Al,9.02,5.0,1.7
TERA,16,8,8,Al,657.50,11.3,10.1
TLMAN,16,8,8,Al,104.80,39.0,1.6
VAKFN,15,13,2,Tut,2.80,8.0,1.6
A1CAP,15,12,3,Tut,10.45,7.2,1.7
CLEBI,15,12,3,Tut,1697.00,11.6,4.9
CONSE,15,12,3,Tut,3.58,11.5,1.5
GARFA,15,12,3,Tut,24.88,5.8,2.4
INTEK,15,12,3,Tut,422.00,753.6,16.3
KZBGY,15,12,3,Tut,13.98,2.3,0.9
MNDRS,15,12,3,Tut,13.38,3.7,0.3
MPARK,15,12,3,Tut,373.00,15.0,2.5
ORGE,15,12,3,Tut,75.35,9.4,2.1
SOKM,15,12,3,Tut,38.24,3.0,0.7
TATEN,15,12,3,Tut,50.50,10.9,2.9
HUNER,15,11,4,Tut,4.16,41.6,0.9
IHGZT,15,11,4,Tut,2.00,10.0,0.5
KATMR,15,11,4,Tut,3.14,6.8,0.5
TGSAS,15,11,4,Tut,188.70,26.6,11.1
ALARK,15,10,5,Tut,90.30,32.8,0.6
BRISA,15,10,5,Tut,79.25,4.7,1.2
KUYAS,15,10,5,Tut,56.95,82.5,8.9
LKMNH,15,10,5,Tut,17.96,1.1,1.8
ORMA,15,10,5,Tut,191.00,15.7,0.9
RGYAS,15,10,5,Tut,139.90,68.6,0.4
TRCAS,15,10,5,Tut,35.66,8.2,0.9
TUPRS,15,10,5,Tut,164.00,15.8,1.0
VESBE,15,10,5,Tut,10.40,2.3,0.5
ARCLK,15,9,6,Tut,145.10,9.4,1.3
AYDEM,15,9,6,Tut,20.10,2.8,0.5
CASA,15,9,6,Tut,130.00,7.3,1.7
GIPTA,15,9,6,Tut,143.30,35.0,7.6
ODAS,15,9,6,Tut,6.12,5.6,0.5
TKNSA,15,9,6,Tut,27.36,2.9,3.3
COSMO,15,7,8,Tut,136.30,22.3,15.6
DOKTA,15,7,8,Tut,26.08,217.3,1.4
IDGYO,15,7,8,Tut,4.59,3.4,2.4
KOTON,15,7,8,Tut,17.09,7.9,2.1
PNLSN,15,7,8,Tut,41.10,186.8,1.2
TAVHL,15,7,8,Tut,263.50,39.3,1.4
